object_id,complex_id,review_text,_proba_test_like,Label
112767406,410448302521207,I have not used the   when searching for a new apartment home. I am unable to provide feedback to help make educated rental decisions. I hope that others will leave valuable comments for shoppers to read.,0.5841944957415410,real_apartment_review
1549001,770717535330096,Great landscaping. Beautiful grounds.,0.5836585093187300,real_apartment_review
112134672,9199332346275143753,"Writing a review to test sprint 66 patch 6 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec ultricies posuere porta. Aliquam lobortis risus sed porttitor lobortis. Duis vestibulum laoreet risus. Sed at enim placerat, euismod erat vel, ultrices urna. Duis in leo turpis. Praesent lobortis elit ut ante pretium dictum. In ligula nisl, ultrices sed libero quis, imperdiet cursus lectus. Praesent vel libero venenatis, hendrerit mauris ut, ornare lacus. Praesent aliquam ligula vitae tellus maximus tincidunt. Nulla convallis pharetra sapien, sed placerat tellus convallis condimentum. Fusce tincidunt et sapien eget laoreet. Nam tincidunt neque eu justo venenatis pulvinar. Vestibulum a eros sit amet elit mollis porttitor non sit.",0.5809942982536730,test_like
111559648,979775670077802,"Great apartment, great amenities, less than 5 minutes to walk to class which comes in handy whenever your alarm clock doesn&apos;t go off!",0.5759281686024290,real_apartment_review
112461312,425456878098004,"quiet, convenient, great views jkjlkjlkjlkjlkjlkjlkjlkjljkljlkjlkjlkjlkjlkjlkjdlkasjdlkajslkdjaslkdjaslkdjalskdjalksjdlaksjdlaksjdlkasjdlkasjdlaksjdlkasjdlkasjdlkasjdlkasjdlkjlksdjfklsdjflksdjfklsdjfksldjfskldfjskldfjksldjfklsdjfskldfjsdklfjsdklfjsdlkfjslkdfjlksdjflkdjfklsdjfklsdjfklsdjfksldjfksdjfksldjfklsdjflksdfjksldjfsdklfjsdlkfjskldfjskldfjskldfjsdklfjskdlfjklsdjfklsdjfskldjfksldjfklsdjfklsdfjskldfjksdlfjsdklfjsdklfjsdklfjskdlfjklsdjfklsdfjskdlfjsdklfjskdlfjskldfjslkdfjslkdfjskldfj",0.574463881366474,test_like
112567557,9199332346275168094,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Sit amet mauris commodo quis imperdiet massa tincidunt. Aliquet risus feugiat in ante metus dictum at. Risus pretium quam vulputate dignissim suspendisse in est ante in. Pellentesque adipiscing commodo elit at imperdiet dui accumsan sit amet. Cras tincidunt lobortis feugiat vivamus. Donec massa sapien faucibus et. Dui vivamus arcu felis bibendum ut tristique et egestas. Ultricies integer quis auctor elit sed vulputate mi. Ut eu sem integer vitae justo eget.",0.5633042062740010,test_like
112567557,9199332346275168094,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Sit amet mauris commodo quis imperdiet massa tincidunt. Aliquet risus feugiat in ante metus dictum at. Risus pretium quam vulputate dignissim suspendisse in est ante in. Pellentesque adipiscing commodo elit at imperdiet dui accumsan sit amet. Cras tincidunt lobortis feugiat vivamus. Donec massa sapien faucibus et. Dui vivamus arcu felis bibendum ut tristique et egestas. Ultricies integer quis auctor elit sed vulputate mi. Ut eu sem integer vitae justo eget.",0.5633042062740010,test_like
112567557,9199332346275168094,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Sit amet mauris commodo quis imperdiet massa tincidunt. Aliquet risus feugiat in ante metus dictum at. Risus pretium quam vulputate dignissim suspendisse in est ante in. Pellentesque adipiscing commodo elit at imperdiet dui accumsan sit amet. Cras tincidunt lobortis feugiat vivamus. Donec massa sapien faucibus et. Dui vivamus arcu felis bibendum ut tristique et egestas. Ultricies integer quis auctor elit sed vulputate mi. Ut eu sem integer vitae justo eget.",0.5633042062740010,test_like
111775284,254526493176541,Yes I would like a reviews,0.552391163583306,test_like
111324386,504394590070131,"Checked it out last week 
Move in this week 
great updated apt 

great location",0.5507762490041390,real_apartment_review
